CICompoundList,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,SMILES,CAS
4-METHYL-1-PENTENE,691-37-2,,84.162,C6H12,CC(C)CC=C,C=CCC(C)C,691-37-2
4-Methyl-1-pentanol,626-89-1,,102.177,C6H14O,CC(C)CCCO,CC(C)CCCO,626-89-1
"4-METHYL-1,3-PENTADIENE",926-56-7,,82.146,C6H10,[#6]\[#6](-[#6])=[#6]\[#6]=[#6],C=CC=C(C)C,926-56-7
"4-Methyl-1,2,4-triazole-3-thiol",24854-43-1,,115.15,C3H5N3S,Cn1cnnc1S,Cn1cnnc1S,24854-43-1
4-Methoxystyrene,637-69-4,,134.178,C9H10O,COc1ccc(C=C)cc1,C=Cc1ccc(OC)cc1,637-69-4
4-Methoxysalicylic acid,2237-36-7,,168.148,C8H8O4,COc1ccc(C(O)=O)c(O)c1,COc1ccc(C(=O)O)c(O)c1,2237-36-7
4-Methoxyquinoline,607-31-8,,0,,,COc1ccnc2ccccc12,607-31-8
"4-Methoxypyridine-N-oxide hydrate, 99%",207511-18-0,,125.127,C6H7NO2,COc1cc[n+]([O-])cc1,,
4-Methoxypyridine,620-08-6,,109.128,C6H7NO,COc1ccncc1,COc1ccncc1,620-08-6
4-Methoxyphenylhydrazine hydrochloride,19501-58-7,,174.63,C7H11ClN2O,Cl.COc1ccc(NN)cc1,COc1ccc(NN)cc1.Cl,19501-58-7
4-Methoxyphenylboronic acid pinacol ester,171364-79-7,,234.1,C13H19BO3,COc1ccc(cc1)B1OC(C)(C)C(C)(C)O1,COc1ccc(B2OC(C)(C)C(C)(C)O2)cc1,171364-79-7
4-Methoxyphenylboronic acid,5720-07-0,,151.96,C7H9BO3,COc1ccc(cc1)B(O)O,COc1ccc(B(O)O)cc1,5720-07-0
"4-Methoxyphenylacetic acid, 99%",104-01-8,,166.176,C9H10O3,COc1ccc(CC(O)=O)cc1,,
"4-Methoxyphenol, 99%, pure",150-76-5,,124.139,C7H8O2,COc1ccc(O)cc1,,
4-Methoxyphenethylamine,55-81-2,,151.209,C9H13NO,COc1ccc(CCN)cc1,COc1ccc(CCN)cc1,55-81-2
4-METHOXYPHENETHYL ALCOHOL,702-23-8,,152.193,C9H12O2,COc1ccc(CCO)cc1,COc1ccc(CCO)cc1,702-23-8
4-METHOXYCINNAMIC ACID,943-89-5,,178.187,C10H10O3,COc1ccc(\C=C\C(O)=O)cc1,COc1ccc(C=CC(=O)O)cc1,
4-METHOXYCINNAMALDEHYDE,24680-50-0,,162.188,C10H10O2,COc1ccc(\C=C\C=O)cc1,COc1ccc(C=CC=O)cc1,
4-Methoxybenzylchloride,824-94-2,,156.61,C8H9ClO,COc1ccc(CCl)cc1,COc1ccc(CCl)cc1,824-94-2
4-Methoxybenzyl cyanide,104-47-2,,147.177,C9H9NO,COc1ccc(CC#N)cc1,COc1ccc(CC#N)cc1,104-47-2
"4-Methoxybenzyl alcohol, 98%",105-13-5,,138.166,C8H10O2,COc1ccc(CO)cc1,,
4-Methoxybenzoyl chloride,,,0,,,COc1ccc(C(=O)Cl)cc1,100-07-2
"4-Methoxybenzenethiol, 98%",696-63-9,,140.2,C7H8OS,COc1ccc(S)cc1,,
"4-Methoxybenzenesulfonyl chloride, 99%",98-68-0,,206.64,C7H7ClO3S,COc1ccc(cc1)S(Cl)(=O)=O,,
4-METHOXYBENZENESULFONAMIDE,1129-26-6,,187.21,C7H9NO3S,COc1ccc(cc1)S(N)(=O)=O,COc1ccc(S(N)(=O)=O)cc1,1129-26-6
4-Methoxybenzene-1-Sulfonyl Chloride,96-68-0,,206.64,C7H7ClO3S,COc1ccc(cc1)S(Cl)(=O)=O,COc1ccc(S(=O)(=O)Cl)cc1,98-68-0
"4-Methoxybenzene-1,3-diol",6100-60-3,,140.138,C7H8O3,COc1ccc(O)cc1O,COc1ccc(O)cc1O,6100-60-3
4-METHOXYAZOBENZENE,2396-60-3,,212.252,C13H12N2O,COc1ccc(cc1)\N=N\c1ccccc1,COc1ccc(N=Nc2ccccc2)cc1,2396-60-3
"4-Methoxy-N,N-diphenylaniline",4316-51-2,,275.351,C19H17NO,COc1ccc(cc1)N(c1ccccc1)c1ccccc1,COc1ccc(N(c2ccccc2)c2ccccc2)cc1,4316-51-2
"4-Methoxy-alpha-toluenethiol, 95%",6258-60-2,,154.23,C8H10OS,COc1ccc(CS)cc1,,
4-Methoxy-6-indole carboxylic acid methyl ester,41082-79-5,,205.213,C11H11NO3,COC(=O)c1cc(OC)c2cc[nH]c2c1,COC(=O)c1cc(OC)c2cc[nH]c2c1,41082-79-5
4-METHOXY-3-NITROACETOPHENONE,6277-38-9,,195.174,C9H9NO4,COc1ccc(cc1[N+]([O-])=O)C(C)=O,,6277-38-9
4-Methoxy-2-formylphenylboronic acid,139962-95-1,,179.97,C8H9BO4,COc1ccc(B(O)O)c(C=O)c1,COc1ccc(B(O)O)c(C=O)c1,139962-95-1
"4-methoxy-2,6-dimethylphenol",2431-91-6,,152.193,C9H12O2,COc1cc(C)c(O)c(C)c1,COc1cc(C)c(O)c(C)c1,1329-97-1
4-Methoxy-1H-indole-6-carboxylic acid,40990-53-2,,191.186,C10H9NO3,COc1cc(cc2[nH]ccc12)C(O)=O,COc1cc(C(=O)O)cc2[nH]ccc12,40990-53-2
4-METHOXY-1-INDANONE,13336-31-7,,162.188,C10H10O2,COc1cccc2C(=O)CCc12,COc1cccc2c1CCC2=O,13336-31-7
"4-Methoxy-1,3-isobenzofurandione",14963-96-3,,178.143,C9H6O4,COc1cccc2C(=O)OC(=O)c12,COc1cccc2c1C(=O)OC2=O,14963-96-3
4-Mercaptopyridine,4556-23-4,,111.16,C5H5NS,Sc1ccncc1,Sc1ccncc1,4556-23-4
4-Mercaptophenylboronic acid,237429-33-3,,153.99,C6H7BO2S,OB(O)c1ccc(S)cc1,OB(O)c1ccc(S)cc1,237429-33-3
4-Mercapto-4-methylpentan-2-one,19872-52-7,,132.22,C6H12OS,CC(=O)CC(C)(C)S,CC(=O)CC(C)(C)S,19872-52-7
4-Isopropylbenzaldehyde,122-03-2,,148.205,C10H12O,CC(C)c1ccc(C=O)cc1,CC(C)c1ccc(C=O)cc1,122-03-2
4-ISOPROPYL BENZYL BROMIDE,73789-86-3,,213.118,C10H13Br,CC(C)c1ccc(CBr)cc1,CC(C)c1ccc(CBr)cc1,73789-86-3
4-Isobutylbenzaldehyde,40150-98-9,,162.232,C11H14O,CC(C)Cc1ccc(C=O)cc1,CC(C)Cc1ccc(C=O)cc1,40150-98-9
4-Iodotetrahydro-2H-pyran,25637-18-7,,212.03,C5H9IO,IC1CCOCC1,IC1CCOCC1,25637-18-7
4-Iodostyrene,2351-50-0,,230.048,C8H7I,Ic1ccc(C=C)cc1,C=Cc1ccc(I)cc1,2351-50-0
4-Iodopyridin-2-amine,552331-00-7,,220.013,C5H5IN2,Nc1cc(I)ccn1,Nc1cc(I)ccn1,552331-00-7
4-Iodophthalic acid,6301-60-6,,292.028,C8H5IO4,OC(=O)c1ccc(I)cc1C(O)=O,O=C(O)c1ccc(I)cc1C(=O)O,6301-60-6
4-iodophenylboronic acid,5122-99-6,,247.83,C6H6BIO2,OB(O)c1ccc(I)cc1,OB(O)c1ccc(I)cc1,5122-99-6
"4-Iodophenol, 99%",540-38-5,,220.009,C6H5IO,Oc1ccc(I)cc1,,
4-iodophenol,,,0,,,Oc1ccc(I)cc1,540-38-5
"4-Iodoindoline-2,3-dione",20780-75-0,,273.029,C8H4INO2,Ic1cccc2NC(=O)C(=O)c12,O=C1Nc2cccc(I)c2C1=O,20780-75-0
4-iodobutanenitrile,6727-73-7,,195.003,C4H6IN,ICCCC#N,N#CCCCI,6727-73-7
4-Iodobenzyl bromide,16004-15-2,,296.933,C7H6BrI,BrCc1ccc(I)cc1,BrCc1ccc(I)cc1,16004-15-2
4-Iodobenzoyl chloride,1711-02-0,,266.46,C7H4ClIO,ClC(=O)c1ccc(I)cc1,O=C(Cl)c1ccc(I)cc1,1711-02-0
4-Iodobenzonitrile,3058-39-7,,229.02,C7H4IN,Ic1ccc(cc1)C#N,N#Cc1ccc(I)cc1,3058-39-7
4-IODOBENZALDEHYDE,15164-44-0,,232.02,C7H5IO,Ic1ccc(C=O)cc1,O=Cc1ccc(I)cc1,15164-44-0
"4-Iodoanisole, 98%",696-62-8,,234.036,C7H7IO,COc1ccc(I)cc1,,
"4-Iodoaniline, 99%",540-37-4,,219.025,C6H6IN,Nc1ccc(I)cc1,,
4-Iodo-DL-phenylalanine,14173-41-2,,291.088,C9H10INO2,NC(Cc1ccc(I)cc1)C(O)=O,NC(Cc1ccc(I)cc1)C(=O)O,14173-41-2
"4-Iodo-1,2-dimethylbenzene",31599-61-8,,232.064,C8H9I,Cc1ccc(I)cc1C,Cc1ccc(I)cc1C,31599-61-8
4-HYDROXYPYRIDINE,626-64-2,,95.101,C5H5NO,O=c1cc[nH]cc1,Oc1ccncc1,626-64-2
"4-Hydroxypyrazolo[3,4-d]pyrimidine, 98%",315-30-0,,136.114,C5H4N4O,Oc1ncnc2[nH]ncc12,,
4-Hydroxypiperidine,5382-16-1,,101.149,C5H11NO,OC1CCNCC1,OC1CCNCC1,5382-16-1
4-Hydroxyphthalic anhydride,27550-59-0,,164.116,C8H4O4,Oc1ccc2C(=O)OC(=O)c2c1,O=C1OC(=O)c2cc(O)ccc21,27550-59-0
4-Hydroxyphenylboronic acid pinacol ester,269409-70-3,,220.08,C12H17BO3,CC1(C)OB(OC1(C)C)c1ccc(O)cc1,CC1(C)OB(c2ccc(O)cc2)OC1(C)C,269409-70-3
4-Hydroxyphenylacetone,770-39-8,,150.177,C9H10O2,CC(=O)Cc1ccc(O)cc1,CC(=O)Cc1ccc(O)cc1,770-39-8
"4-Hydroxyphenylacetic acid, 98%",156-38-7,,152.149,C8H8O3,OC(=O)Cc1ccc(O)cc1,,
4-Hydroxyphenethyl alcohol,501-94-0,,138.166,C8H10O2,OCCc1ccc(O)cc1,OCCc1ccc(O)cc1,501-94-0
4-HYDROXYMETHYLBENZOIC ACID,96937-45-0,,152.149,C8H8O3,OCc1ccc(cc1)C(O)=O,O=C(O)c1ccc(CO)cc1,3006-96-0
"4-Hydroxycoumarin, 98%",1076-38-6,,162.144,C9H6O3,Oc1cc(=O)oc2ccccc12,,
4-Hydroxybenzyl cyanide,14191-95-8,,133.15,C8H7NO,Oc1ccc(CC#N)cc1,N#CCc1ccc(O)cc1,14191-95-8
"4-Hydroxybenzyl alcohol, 97%",623-05-2,,124.139,C7H8O2,OCc1ccc(O)cc1,,
4-hydroxybenzoic acid,99-96-7,,138.122,C7H6O3,OC(=O)c1ccc(O)cc1,O=C(O)c1ccc(O)cc1,99-96-7
4-Hydroxybenzenesulfonamide,1576-43-8,,173.19,C6H7NO3S,NS(=O)(=O)c1ccc(O)cc1,NS(=O)(=O)c1ccc(O)cc1,1576-43-8
4-Hydroxyaniline hydrochloride,51-78-5,,145.59,C6H8ClNO,Cl.Nc1ccc(O)cc1,Cl.Nc1ccc(O)cc1,51-78-5
4-Hydroxy-L-phenylglycine,32462-30-9,,167.164,C8H9NO3,OC(=O)CNc1ccc(O)cc1,N[C@H](C(=O)O)c1ccc(O)cc1,32462-30-9
4-Hydroxy-3-nitrobenzaldehyde,3011-34-5,,167.12,C7H5NO4,Oc1ccc(C=O)cc1[N+]([O-])=O,O=Cc1ccc(O)c([N+](=O)[O-])c1,3011-34-5
4-Hydroxy-2-methoxybenzaldehyde,18278-34-7,,152.149,C8H8O3,COc1cc(O)ccc1C=O,COc1cc(O)ccc1C=O,18278-34-7
4-Hydroxy-2-butanone,590-90-9,,88.106,C4H8O2,CC(=O)CCO,CC(=O)CCO,590-90-9
"4-Heptanone, 98%",123-19-3,,114.188,C7H14O,CCCC(=O)CCC,,
"4-Fluorothiophenol, 97%",371-42-6,,128.16,C6H5FS,Fc1ccc(S)cc1,,
4-Fluorostyrene,405-99-2,,122.142,C8H7F,Fc1ccc(C=C)cc1,C=Cc1ccc(F)cc1,405-99-2
4-Fluorophenylboronic acid pinacol ester,214360-58-4,,222.07,C12H16BFO2,CC1(C)OB(OC1(C)C)c1ccc(F)cc1,CC1(C)OB(c2ccc(F)cc2)OC1(C)C,214360-58-4
4-Fluorophenylacetylene,766-98-3,,120.126,C8H5F,Fc1ccc(cc1)C#C,C#Cc1ccc(F)cc1,766-98-3
"4-Fluorophenylacetic acid, 98%",405-50-5,,154.14,C8H7FO2,OC(=O)Cc1ccc(F)cc1,,
"4-Fluorophenol, 99%",371-41-5,,112.103,C6H5FO,Oc1ccc(F)cc1,,
4-Fluorophenethylamine,1583-88-6,,139.173,C8H10FN,NCCc1ccc(F)cc1,NCCc1ccc(F)cc1,1583-88-6
4-Fluorophenethyl alcohol,7589-27-7,,140.157,C8H9FO,OCCc1ccc(F)cc1,OCCc1ccc(F)cc1,7589-27-7
4-Fluorocinnamic acid,459-32-5,,166.151,C9H7FO2,OC(=O)\C=C\c1ccc(F)cc1,O=C(O)C=Cc1ccc(F)cc1,459-32-5
4-FLUOROCINNAMIC ACID,14290-86-9,,166.151,C9H7FO2,OC(=O)\C=C\c1ccc(F)cc1,O=C(O)C=Cc1ccc(F)cc1,459-32-5
4-Fluorocinnamaldehyde,24654-55-5,,150.152,C9H7FO,Fc1ccc(\C=C\C=O)cc1,O=CC=Cc1ccc(F)cc1,24654-55-5
4-Fluorocatechol,367-32-8,,128.102,C6H5FO2,Oc1ccc(F)cc1O,Oc1ccc(F)cc1O,367-32-8
4-Fluorobenzylhydrazide,0456-06-04,,0,,,,
4-FLUOROBENZYL MERCAPTAN,15894-04-9,,142.19,C7H7FS,Fc1ccc(CS)cc1,Fc1ccc(CS)cc1,15894-04-9
4-Fluorobenzyl alcohol,459-56-2,,0,,,OCc1ccc(F)cc1,459-56-3
4-Fluorobenzyl alcohol,459-56-3,,126.13,C7H7FO,OCc1ccc(F)cc1,OCc1ccc(F)cc1,459-56-3
"4-Fluorobenzoyl chloride, 98%",403-43-0,,158.56,C7H4ClFO,Fc1ccc(cc1)C(Cl)=O,,
4-Fluorobenzonitrile,1194-02-1,,121.114,C7H4FN,Fc1ccc(cc1)C#N,N#Cc1ccc(F)cc1,1194-02-1
"4-Fluorobenzoic acid, 99%",456-22-4,,140.113,C7H5FO2,OC(=O)c1ccc(F)cc1,,
"4-Fluorobenzenesulfonyl chloride, 98%",349-88-2,,194.6,C6H4ClFO2S,Fc1ccc(cc1)S(Cl)(=O)=O,,
4-Fluorobenzenesulfonamide,402-46-0,,175.18,C6H6FNO2S,NS(=O)(=O)c1ccc(F)cc1,NS(=O)(=O)c1ccc(F)cc1,402-46-0
4-FLUOROBENZENESULFINIC ACID SODIUM SALT,824-80-6,,218.17,C6H8FNaO4S,O.O.[Na+].[O-]S(=O)c1ccc(F)cc1,O=S([O-])c1ccc(F)cc1.[Na+],824-80-6
4-Fluorobenzeneboronic acid,1765-93-1,,139.92,C6H6BFO2,OB(O)c1ccc(F)cc1,OB(O)c1ccc(F)cc1,1765-93-1
"4-Fluorobenzaldehyde, 98+%",459-57-4,,124.114,C7H5FO,Fc1ccc(C=O)cc1,,
"4-Fluoroaniline, 98%",371-40-4,,111.119,C6H6FN,Nc1ccc(F)cc1,,
4-Fluoro-2-methylbenzaldehyde,63082-45-1,,138.141,C8H7FO,Cc1cc(F)ccc1C=O,Cc1cc(F)ccc1C=O,63082-45-1
4-Ethynyltoluene,766-97-2,,116.163,C9H8,Cc1ccc(cc1)C#C,C#Cc1ccc(C)cc1,766-97-2
4-Ethynylphenylboronic acid pinacol ester,,,228.1,C14H17BO2,CC1(C)OB(OC1(C)C)c1ccc(cc1)C#C,C#Cc1ccc(B2OC(C)(C)C(C)(C)O2)cc1,1034287-04-1
4-Ethynylbenzoic acid,10602-00-3,,146.145,C9H6O2,OC(=O)c1ccc(cc1)C#C,C#Cc1ccc(C(=O)O)cc1,10602-00-3
4-Ethynylanisole,768-60-5,,132.162,C9H8O,COc1ccc(cc1)C#C,C#Cc1ccc(OC)cc1,768-60-5
4-ETHYNYLANILINE,14235-81-5,,117.151,C8H7N,Nc1ccc(cc1)C#C,C#Cc1ccc(N)cc1,14235-81-5
"4-Ethylphenol, 97%",123-07-9,,122.167,C8H10O,CCc1ccc(O)cc1,,
4-Ethylbenzaldehyde,4748-78-1,,134.178,C9H10O,CCc1ccc(C=O)cc1,CCc1ccc(C=O)cc1,4748-78-1
4-ETHYLANISOLE,1515-95-3,,136.194,C9H12O,CCc1ccc(OC)cc1,CCc1ccc(OC)cc1,1515-95-3
"4-Ethylaniline, 99+%",589-16-2,,121.183,C8H11N,CCc1ccc(N)cc1,,
4-Ethyl-2-methoxyphenol,2785-89-9,,152.193,C9H12O2,CCc1ccc(O)c(OC)c1,CCc1ccc(O)c(OC)c1,2785-89-9
"4-Dimethylaminopyridine, 99%",1122-58-3,,122.171,C7H10N2,CN(C)c1ccncc1,,
4-DIMETHYLAMINOBUTYRIC ACID HYDROCHLORIDE,69954-66-1,,167.63,C6H14ClNO2,Cl.CN(C)CCCC(O)=O,CN(C)CCCC(=O)O.Cl,69954-66-1
"4-Cyanostyrene, stab. with 0.05% 4-tert-butyl catechol",3435-51-6,,129.162,C9H7N,C=Cc1ccc(cc1)C#N,,
4-Cyanopyridinium-1-olate,14906-59-3,,120.111,C6H4N2O,[O-][n+]1ccc(cc1)C#N,N#Cc1cc[n+]([O-])cc1,14906-59-3
"4-Cyanopyridine, 98%",100-48-1,,104.112,C6H4N2,N#Cc1ccncc1,,
4-cyanophenylboronic acid,126747-14-6,,146.94,C7H6BNO2,OB(O)c1ccc(cc1)C#N,N#Cc1ccc(B(O)O)cc1,126747-14-6
4-CYANOPHENYLACETIC,5462-71-5,,161.16,C9H7NO2,OC(=O)Cc1ccc(cc1)C#N,,
4-Cyanobenzyl bromide,17201-43-3,,196.047,C8H6BrN,BrCc1ccc(cc1)C#N,N#Cc1ccc(CBr)cc1,17201-43-3
"4-Cyanobenzoic acid, 99%",619-65-8,,147.133,C8H5NO2,OC(=O)c1ccc(cc1)C#N,,
"4-Cyanobenzenesulfonyl chloride, 97%",49584-26-1,,201.62,C7H4ClNO2S,ClS(=O)(=O)c1ccc(cc1)C#N,,
4-cyano-N-(trifluoromethoxy)pyridinium triflamide,2242839-02-5,,0,,,,
4-Cyano-2-methoxybenzaldehyde,21962-45-8,,161.16,C9H7NO2,COc1cc(ccc1C=O)C#N,COc1cc(C#N)ccc1C=O,21962-45-8
4-Cholesten-3-one,601-57-0,,384.648,C27H44O,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C |r,t:15|",CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,601-57-0
"4-Chlorothiophenol, 98%",106-54-7,,144.62,C6H5ClS,Sc1ccc(Cl)cc1,,
"4-Chlorostyrene, 99%, stabilized",1073-67-2,,138.59,C8H7Cl,Clc1ccc(C=C)cc1,,
4-chloroquinazoline,5190-68-1,,164.59,C8H5ClN2,Clc1ncnc2ccccc12,Clc1ncnc2ccccc12,5190-68-1
4-Chloropyridine N-oxide,1121-76-2,,129.54,C5H4ClNO,[O-][n+]1ccc(Cl)cc1,[O-][n+]1ccc(Cl)cc1,1121-76-2
"4-Chloropyridine hydrochloride, 97%",7379-35-3,,150,C5H5Cl2N,Cl.Clc1ccncc1,,
4-Chlorophenylboronic acid,1679-18-1,,156.37,C6H6BClO2,OB(O)c1ccc(Cl)cc1,OB(O)c1ccc(Cl)cc1,1679-18-1
"4-Chlorophenylacetyl chloride, 96%",25026-34-0,,189.04,C8H6Cl2O,ClC(=O)Cc1ccc(Cl)cc1,,
4-CHLOROPHENYL PHOSPHORODICHLORIDATE,772-79-2,,245.42,C6H4Cl3O2P,Clc1ccc(OP(Cl)(Cl)=O)cc1,O=P(Cl)(Cl)Oc1ccc(Cl)cc1,772-79-2
"4-Chlorophenol, 98%",106-48-9,,128.56,C6H5ClO,Oc1ccc(Cl)cc1,,
4-Chlorophenethylamine,156-41-2,,155.63,C8H10ClN,NCCc1ccc(Cl)cc1,NCCc1ccc(Cl)cc1,156-41-2
4-Chlorophenethylalcohol,1875-88-3,,156.61,C8H9ClO,OCCc1ccc(Cl)cc1,OCCc1ccc(Cl)cc1,1875-88-3
4-Chloronitrobenzene,100-00-5,,157.55,C6H4ClNO2,[O-][N+](=O)c1ccc(Cl)cc1,O=[N+]([O-])c1ccc(Cl)cc1,100-00-5
"4-Chlorocinnamic acid, 99%, predominantly trans",1615-02-7,,182.6,C9H7ClO2,OC(=O)\C=C\c1ccc(Cl)cc1,,
4-Chlorocinnamaldehyde,49678-02-6,,166.6,C9H7ClO,Clc1ccc(\C=C\C=O)cc1,O=CC=Cc1ccc(Cl)cc1,
4-Chlorobutyryl chloride,4635-59-0,,140.99,C4H6Cl2O,ClCCCC(Cl)=O,O=C(Cl)CCCCl,4635-59-0
4-Chlorobutyronitrile,628-20-6,,103.55,C4H6ClN,ClCCCC#N,N#CCCCCl,628-20-6
4-Chlorobenzyl bromide,622-95-7,,205.48,C7H6BrCl,Clc1ccc(CBr)cc1,Clc1ccc(CBr)cc1,622-95-7
"4-Chlorobenzoyl chloride, 99+%",122-01-0,,175.01,C7H4Cl2O,ClC(=O)c1ccc(Cl)cc1,,
"4-Chlorobenzoic acid, 99%",74-11-3,,156.57,C7H5ClO2,OC(=O)c1ccc(Cl)cc1,,
4-CHLOROBENZHYDRAZIDE,536-40-3,,170.6,C7H7ClN2O,NNC(=O)c1ccc(Cl)cc1,NNC(=O)c1ccc(Cl)cc1,536-40-3
"4-Chlorobenzenesulfonyl chloride, 97%",98-60-2,,211.06,C6H4Cl2O2S,Clc1ccc(cc1)S(Cl)(=O)=O,,
"4-Chlorobenzene-1,2-diol",2138-22-9,,144.55,C6H5ClO2,Oc1ccc(Cl)cc1O,Oc1ccc(Cl)cc1O,2138-22-9
"4-Chlorobenzaldehyde, 98.5+%",104-88-1,,140.57,C7H5ClO,Clc1ccc(C=O)cc1,,
4-Chloroaniline,106-47-8,,127.57,C6H6ClN,Nc1ccc(Cl)cc1,Nc1ccc(Cl)cc1,106-47-8
4-chloro-6-iodoquinazoline,98556-31-1,,290.49,C8H4ClIN2,Clc1ncnc2ccc(I)cc12,Clc1ncnc2ccc(I)cc12,98556-31-1
"4-chloro-6,7-bis(2-methoxyethoxy)quinazoline",183322-18-1,,312.75,C14H17ClN2O4,COCCOc1cc2ncnc(Cl)c2cc1OCCOC,COCCOc1cc2ncnc(Cl)c2cc1OCCOC,183322-18-1
"4-Chloro-2-nitroaniline, 99%",89-63-4,,172.57,C6H5ClN2O2,Nc1ccc(Cl)cc1[N+]([O-])=O,,
4-CHLORO-2-METHYLBENZALDEHYDE,40137-29-9,,154.59,C8H7ClO,Cc1cc(Cl)ccc1C=O,Cc1cc(Cl)ccc1C=O,40137-29-9
4-Chloro-2-iodoaniline,63069-48-7,,253.47,C6H5ClIN,Nc1ccc(Cl)cc1I,Nc1ccc(Cl)cc1I,63069-48-7
4-Chloro-2-fluorotoluene,452-75-5,,144.57,C7H6ClF,Cc1ccc(Cl)cc1F,Cc1ccc(Cl)cc1F,452-75-5
4-chloro-2-fluorobenzenesulfonyl chloride,141337-26-0,,229.05,C6H3Cl2FO2S,Fc1cc(Cl)ccc1S(Cl)(=O)=O,O=S(=O)(Cl)c1ccc(Cl)cc1F,141337-26-0
4-CARBETHOXY-3-METHYL-2-CYCLOHEXEN-1-ONE,487-51-4,,182.219,C10H14O3,CCOC(=O)C1CCC(=O)C=C1C |c:10|,CCOC(=O)C1CCC(=O)C=C1C,487-51-4
4-Butylaniline,104-13-2,,149.237,C10H15N,CCCCc1ccc(N)cc1,CCCCc1ccc(N)cc1,104-13-2
4-Bromotriphenylamine,36809-26-4,,324.221,C18H14BrN,Brc1ccc(cc1)N(c1ccccc1)c1ccccc1,,36809-26-4
4-Bromotoluene,106-38-7,,171.037,C7H7Br,Cc1ccc(Br)cc1,Cc1ccc(Br)cc1,106-38-7
"4-Bromothiophenol, 95%",106-53-6,,189.07,C6H5BrS,Sc1ccc(Br)cc1,,
4-BROMOTHIOPHENE-3-CARBONITRILE,18895-10-8,,188.04,C5H2BrNS,Brc1cscc1C#N,N#Cc1cscc1Br,18895-10-8
"4-Bromostyrene, 96%, stabilized",2039-82-9,,183.048,C8H7Br,Brc1ccc(C=C)cc1,,
4-bromopyrimidine,31462-56-3,,158.986,C4H3BrN2,Brc1ccncn1,Brc1ccncn1,31462-56-3
"4-Bromopyridine hydrochloride, 98%",19524-06-2,,194.46,C5H5BrClN,Cl.Brc1ccncc1,,
4-Bromophthalic anhydride,86-90-8,,227.013,C8H3BrO3,Brc1ccc2C(=O)OC(=O)c2c1,O=C1OC(=O)c2cc(Br)ccc21,86-90-8
4-Bromophenylacetylene,766-96-1,,181.032,C8H5Br,Brc1ccc(cc1)C#C,C#Cc1ccc(Br)cc1,766-96-1
4-Bromophenylacetyl chloride,37859-24-8,,233.49,C8H6BrClO,ClC(=O)Cc1ccc(Br)cc1,O=C(Cl)Cc1ccc(Br)cc1,37859-24-8
4-Bromophenylacetic acid,1878-68-8,,215.046,C8H7BrO2,OC(=O)Cc1ccc(Br)cc1,O=C(O)Cc1ccc(Br)cc1,1878-68-8
4-Bromophenyl methyl sulfone,3466-32-8,,235.1,C7H7BrO2S,CS(=O)(=O)c1ccc(Br)cc1,CS(=O)(=O)c1ccc(Br)cc1,3466-32-8
4-Bromophenol tert-Butyldimethylsilyl Ether,67963-68-2,,283.242,C12H15BrOSi,CC(C)(C)[Si](C)(C)Oc1[c-][c-]c(Br)[c-][c-]1,CC(C)(C)[Si](C)(C)Oc1ccc(Br)cc1,67963-68-2
4-Bromophenol,106-41-2,,173.009,C6H5BrO,Oc1ccc(Br)cc1,Oc1ccc(Br)cc1,106-41-2
"4-BROMOMETHYL-6,7-DIMETHOXYCOUMARIN",88404-25-5,,299.12,C12H11BrO4,COc1cc2oc(=O)cc(CBr)c2cc1OC,COc1cc2oc(=O)cc(CBr)c2cc1OC,88404-25-5
"4-Bromofluorobenzene, 99%",460-00-4,,175,C6H4BrF,Fc1ccc(Br)cc1,,
4-Bromocinnamic acid,1200-07-3,,227.057,C9H7BrO2,OC(=O)\C=C\c1ccc(Br)cc1,O=C(O)C=Cc1ccc(Br)cc1,
4-BROMOBUTYRYL CHLORIDE,927-58-2,,185.45,C4H6BrClO,ClC(=O)CCCBr,O=C(Cl)CCCBr,927-58-2
"4-Bromobutyronitrile, 97%",5332-06-9,,148.003,C4H6BrN,BrCCCC#N,,
4-bromobutyronitrile,09-06-5332,,0,,,N#CCCCBr,5332-06-9
"4-Bromobutyric acid, 98%",2623-87-2,,167.002,C4H7BrO2,OC(=O)CCCBr,,
4-Bromobutan-1-amine hydrobromide,24566-81-2,,0,,,Br.NCCCCBr,24566-81-2
4-Bromobiphenyl,92-66-0,,233.108,C12H9Br,Brc1ccc(cc1)-c1ccccc1,Brc1ccc(-c2ccccc2)cc1,92-66-0
"4-Bromobenzyl bromide, 98%",589-15-1,,249.933,C7H6Br2,BrCc1ccc(Br)cc1,,
4-Bromobenzyl alcohol,873-75-6,,187.036,C7H7BrO,OCc1ccc(Br)cc1,OCc1ccc(Br)cc1,873-75-6
"4-Bromobenzoyl chloride, 98%",586-75-4,,219.46,C7H4BrClO,ClC(=O)c1ccc(Br)cc1,,
4-Bromobenzotrifluoride,402-43-7,,225.008,C7H4BrF3,FC(F)(F)c1ccc(Br)cc1,FC(F)(F)c1ccc(Br)cc1,402-43-7
